Age in 5-year groups ,Region,Religion,Ethnicity,Education in single years,Number of household members,Educational attainment,Frequency of reading newspaper or magazine,Frequency of listening to radio,Frequency of watching television,Literacy,Ever participated in a literacy program,Use of internet,Frequency of using internet last month,Owns a mobile telephone,Wealth index factor score for urban/rural,Wealth index for urban/rural,Wealth index factor score combined (5 decimals)
3.0,1.0,5.0,1.0,12.0,4.0,4.0,0.0,1.0,2.0,2.0,,1.0,2.0,1.0,88576.0,4.0,125119.0
2.0,1.0,5.0,1.0,9.0,3.0,3.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,-34904.0,2.0,27635.0
2.0,1.0,5.0,1.0,9.0,3.0,3.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,-34904.0,2.0,27635.0
2.0,1.0,5.0,1.0,9.0,3.0,3.0,0.0,1.0,2.0,2.0,,1.0,3.0,1.0,26639.0,3.0,76221.0
4.0,1.0,3.0,1.0,15.0,3.0,5.0,1.0,2.0,2.0,2.0,,1.0,3.0,1.0,230619.0,5.0,237257.0
4.0,1.0,1.0,1.0,18.0,4.0,5.0,1.0,2.0,2.0,2.0,,1.0,3.0,1.0,164291.0,5.0,184893.0
4.0,1.0,1.0,1.0,18.0,4.0,5.0,1.0,2.0,2.0,2.0,,1.0,3.0,1.0,164291.0,5.0,184893.0
4.0,1.0,5.0,1.0,12.0,4.0,4.0,0.0,1.0,2.0,2.0,,1.0,2.0,1.0,68424.0,4.0,109209.0
5.0,1.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,1.0,119389.0,5.0,149445.0
6.0,1.0,6.0,1.0,15.0,4.0,5.0,0.0,2.0,2.0,2.0,,1.0,2.0,1.0,57818.0,4.0,100836.0
5.0,1.0,5.0,1.0,6.0,5.0,3.0,0.0,2.0,1.0,0.0,,0.0,0.0,1.0,34392.0,3.0,82342.0
6.0,1.0,5.0,5.0,2.0,6.0,1.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,44864.0,3.0,90610.0
2.0,1.0,7.0,5.0,9.0,3.0,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,95766.0,4.0,130794.0
4.0,1.0,5.0,3.0,16.0,5.0,5.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,196760.0,5.0,210526.0
4.0,1.0,5.0,1.0,16.0,4.0,5.0,1.0,2.0,2.0,2.0,,1.0,3.0,1.0,172288.0,5.0,191206.0
3.0,1.0,6.0,1.0,12.0,4.0,4.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,189786.0,5.0,205021.0
5.0,1.0,5.0,1.0,16.0,6.0,5.0,0.0,1.0,2.0,2.0,,1.0,3.0,1.0,230051.0,5.0,236809.0
5.0,1.0,3.0,1.0,12.0,3.0,4.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,207457.0,5.0,218971.0
3.0,1.0,6.0,1.0,12.0,3.0,4.0,0.0,2.0,2.0,2.0,,1.0,2.0,1.0,-613.0,3.0,54706.0
5.0,1.0,5.0,1.0,9.0,5.0,3.0,0.0,2.0,2.0,0.0,,1.0,3.0,1.0,140229.0,5.0,165897.0
4.0,1.0,5.0,1.0,9.0,3.0,3.0,0.0,0.0,2.0,1.0,,1.0,3.0,1.0,34155.0,3.0,82155.0
5.0,1.0,5.0,1.0,12.0,6.0,4.0,1.0,2.0,2.0,2.0,,0.0,0.0,1.0,115195.0,5.0,146134.0
2.0,1.0,5.0,2.0,9.0,4.0,3.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,5568.0,3.0,59586.0
5.0,1.0,3.0,1.0,16.0,6.0,5.0,0.0,1.0,2.0,2.0,,1.0,3.0,1.0,185343.0,5.0,201513.0
5.0,1.0,3.0,1.0,12.0,12.0,4.0,0.0,1.0,2.0,2.0,,1.0,3.0,1.0,110207.0,5.0,142196.0
2.0,1.0,5.0,1.0,12.0,12.0,4.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,110207.0,5.0,142196.0
6.0,1.0,3.0,1.0,15.0,6.0,5.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,77884.0,4.0,116678.0
4.0,1.0,7.0,5.0,9.0,5.0,3.0,0.0,1.0,2.0,2.0,,1.0,3.0,1.0,160667.0,5.0,182032.0
4.0,1.0,7.0,5.0,9.0,5.0,3.0,0.0,1.0,2.0,2.0,,1.0,3.0,1.0,160667.0,5.0,182032.0
4.0,1.0,5.0,1.0,9.0,4.0,3.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,120883.0,5.0,150624.0
3.0,1.0,7.0,1.0,9.0,3.0,3.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,75696.0,4.0,114950.0
3.0,1.0,5.0,1.0,2.0,6.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,-48455.0,2.0,16937.0
3.0,1.0,5.0,1.0,2.0,6.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,-48455.0,2.0,16937.0
5.0,1.0,7.0,8.0,9.0,9.0,3.0,0.0,2.0,2.0,2.0,,0.0,0.0,1.0,67641.0,4.0,108591.0
5.0,1.0,7.0,8.0,9.0,9.0,3.0,0.0,2.0,2.0,2.0,,0.0,0.0,1.0,67641.0,4.0,108591.0
5.0,1.0,7.0,8.0,9.0,9.0,3.0,0.0,2.0,2.0,2.0,,0.0,0.0,1.0,67641.0,4.0,108591.0
1.0,1.0,7.0,5.0,10.0,9.0,3.0,0.0,2.0,2.0,2.0,,1.0,2.0,0.0,67641.0,4.0,108591.0
2.0,1.0,5.0,1.0,6.0,9.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,-23307.0,2.0,36790.0
2.0,1.0,5.0,1.0,6.0,9.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,-23307.0,2.0,36790.0
1.0,1.0,5.0,1.0,2.0,9.0,1.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,-23307.0,2.0,36790.0
4.0,1.0,7.0,6.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,-11039.0,2.0,46475.0
1.0,1.0,5.0,1.0,12.0,3.0,4.0,0.0,1.0,2.0,2.0,,1.0,3.0,1.0,76915.0,4.0,115913.0
6.0,1.0,5.0,1.0,9.0,8.0,3.0,0.0,2.0,1.0,2.0,,0.0,0.0,1.0,41159.0,3.0,87684.0
4.0,1.0,5.0,1.0,14.0,1.0,5.0,0.0,1.0,2.0,2.0,,1.0,3.0,1.0,149146.0,5.0,172937.0
2.0,1.0,5.0,5.0,9.0,4.0,3.0,0.0,2.0,2.0,2.0,,1.0,3.0,1.0,53387.0,4.0,97338.0
1.0,1.0,5.0,1.0,7.0,6.0,3.0,0.0,1.0,2.0,2.0,,1.0,1.0,1.0,20027.0,3.0,71001.0
5.0,1.0,3.0,1.0,9.0,5.0,3.0,0.0,2.0,2.0,1.0,,1.0,2.0,1.0,203916.0,5.0,216176.0
4.0,1.0,5.0,5.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,-22664.0,2.0,37298.0
3.0,1.0,5.0,1.0,12.0,2.0,4.0,2.0,2.0,2.0,2.0,,1.0,3.0,1.0,48480.0,4.0,93464.0
4.0,1.0,5.0,1.0,9.0,5.0,3.0,0.0,2.0,2.0,0.0,,1.0,2.0,1.0,70949.0,4.0,111202.0
2.0,1.0,6.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,-144091.0,1.0,-58566.0
2.0,1.0,5.0,1.0,6.0,4.0,2.0,0.0,1.0,2.0,1.0,,1.0,1.0,1.0,-24951.0,2.0,35492.0
2.0,1.0,5.0,1.0,6.0,4.0,2.0,0.0,1.0,2.0,1.0,,1.0,1.0,1.0,-24951.0,2.0,35492.0
4.0,1.0,7.0,5.0,6.0,6.0,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,0.0,-23680.0,2.0,36496.0
4.0,1.0,7.0,5.0,6.0,6.0,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,0.0,-23680.0,2.0,36496.0
5.0,1.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,-13787.0,2.0,44306.0
4.0,1.0,5.0,1.0,9.0,4.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,-5240.0,3.0,51053.0
4.0,1.0,5.0,1.0,9.0,4.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,-5240.0,3.0,51053.0
6.0,1.0,5.0,1.0,4.0,7.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,-79801.0,1.0,-7810.0
5.0,1.0,5.0,2.0,3.0,8.0,1.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,-180576.0,1.0,-87369.0
5.0,1.0,5.0,2.0,3.0,8.0,1.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,-180576.0,1.0,-87369.0
4.0,1.0,5.0,1.0,7.0,3.0,3.0,0.0,1.0,2.0,0.0,,0.0,0.0,1.0,17075.0,3.0,68671.0
4.0,1.0,1.0,3.0,9.0,4.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,201749.0,5.0,122732.0
2.0,1.0,5.0,1.0,9.0,4.0,3.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,52356.0,4.0,-7483.0
2.0,1.0,5.0,1.0,9.0,4.0,3.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,52356.0,4.0,-7483.0
4.0,1.0,3.0,1.0,9.0,5.0,3.0,0.0,1.0,0.0,2.0,,0.0,0.0,1.0,-96314.0,1.0,-137069.0
4.0,1.0,6.0,1.0,12.0,6.0,4.0,2.0,1.0,2.0,2.0,,1.0,3.0,1.0,181471.0,5.0,105056.0
3.0,1.0,5.0,1.0,9.0,5.0,3.0,0.0,1.0,2.0,1.0,,0.0,0.0,0.0,116688.0,5.0,48590.0
3.0,1.0,5.0,1.0,9.0,5.0,3.0,0.0,1.0,2.0,1.0,,0.0,0.0,0.0,116688.0,5.0,48590.0
4.0,1.0,7.0,1.0,9.0,4.0,3.0,0.0,0.0,2.0,1.0,,0.0,0.0,1.0,184522.0,5.0,107716.0
3.0,1.0,5.0,3.0,9.0,6.0,3.0,0.0,0.0,2.0,2.0,,1.0,3.0,1.0,96552.0,5.0,31039.0
3.0,1.0,2.0,1.0,15.0,3.0,5.0,2.0,2.0,2.0,2.0,,1.0,3.0,1.0,234405.0,5.0,151195.0
2.0,1.0,6.0,1.0,6.0,4.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,-128393.0,1.0,-46172.0
